Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU);Departamento de la dirección del domicilio;Ciudad de la dirección del domicilio;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Diferencia entre el importe en libros de dividendos pagaderos e importe en libros de activos distribuidos distintos al efectivo;Ganancias (pérdidas) que surgen de la baja en cuentas de activos financieros medidos al costo amortizado;Ingresos financieros;Costos financieros;Deterioro de valor de ganancias y reversión de pérdidas por deterioro de valor (pérdidas por deterioro de valor) determinado de acuerdo con la NIIF 9;Ganancias (pérdidas) que surgen de diferencias entre el costo amortizado anterior y el valor razonable de activos financieros reclasificados de la categoría de medición costo amortizado a la categoría de medición de valor razonable con cambios en resultados;Ganancia (pérdida) acumulada anteriormente reconocida en otro resultado integral que surge de la reclasificación de activos financieros de la categoría de medición de valor razonable con cambios en otro resultado integral a la de valor razonable con cambios en resultados;Ganancias (pérdidas) de cobertura por cobertura de un grupo de partidas con posiciones de riesgo compensadoras;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
C1012 - Procesamiento y conservación de pescados, crustáceos y moluscos;BOLIVAR;CARTAGENA-BOLIVAR;453256978;398718741;54538237;5417270;12606662;17495028;6643906;;23209911;;;44911996;48040042;;;;;20081865;-3951971;24033836;;24033836
L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;BOGOTA D.C.;BOGOTA D.C.;287193;;287193;32936;;993901;322571;;-996343;;;;;;;;;-996343;5755;-1002098;;-1002098
A0122 - Cultivo de plátano y banano;ANTIOQUIA;ENVIGADO-ANTIOQUIA;7288503;6051177;1237326;98823;412121;81297;63840;0;778891;0;0;72;0;0;0;0;0;778963;225577;553386;0;553386
A0122 - Cultivo de plátano y banano;ANTIOQUIA;ENVIGADO-ANTIOQUIA;14812431;13094189;1718242;388492;903658;200815;221166;;781095;;;3046;4885;;;;;779256;376894;402362;;402362
A0122 - Cultivo de plátano y banano;ANTIOQUIA;ENVIGADO-ANTIOQUIA;36752798;34693087;2059711;1124704;;2635828;1108355;;-559768;;;;59921;;;;;-619689;354576;-974265;;-974265
M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;BOGOTA D.C.;BOGOTA D.C.;10814654;8961230;1853424;;;1087527;320482;;445415;;;;214953;;;;;230462;149169;81293;;81293
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;12692476;9188408;3504068;16972;865487;1861174;29590;;764789;;;840;171723;;;;;593906;178536;415370;;415370
L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;CORDOBA;CIENAGA-DE-ORO-CORDOBA;1845373;1324280;521093;384772;;551886;23566;;330413;;;43116;66488;;;;;307041;-40036;347077;0;347077
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;65717906;34450356;31267550;30248;11546881;4781536;2740805;;12228576;;;;;;;;;12228576;4037804;8190772;;8190772
G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario;BOGOTA D.C.;BOGOTA D.C.;95662452;74970706;20691746;8264724;;9553815;10983867;;8418788;;;;;;;;;8418788;3241948;5176840;;5176840
