Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU);Departamento de la dirección del domicilio;Ciudad de la dirección del domicilio;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Diferencia entre el importe en libros de dividendos pagaderos e importe en libros de activos distribuidos distintos al efectivo;Ganancias (pérdidas) que surgen de la baja en cuentas de activos financieros medidos al costo amortizado;Ingresos financieros;Costos financieros;Deterioro de valor de ganancias y reversión de pérdidas por deterioro de valor (pérdidas por deterioro de valor) determinado de acuerdo con la NIIF 9;Ganancias (pérdidas) que surgen de diferencias entre el costo amortizado anterior y el valor razonable de activos financieros reclasificados de la categoría de medición costo amortizado a la categoría de medición de valor razonable con cambios en resultados;Ganancia (pérdida) acumulada anteriormente reconocida en otro resultado integral que surge de la reclasificación de activos financieros de la categoría de medición de valor razonable con cambios en otro resultado integral a la de valor razonable con cambios en resultados;Ganancias (pérdidas) de cobertura por cobertura de un grupo de partidas con posiciones de riesgo compensadoras;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
N7911 - Actividades de las agencias de viaje;BOGOTA D.C.;BOGOTA D.C.;14567811;;14567811;2237854;18807307;;2338426;;-4340068;;;1145402;;;;;;-3194666;;-3194666;;-3194666
C1410 - Confección de prendas de vestir, excepto prendas de piel;ANTIOQUIA;ITAGUI-ANTIOQUIA;79004383;30865948;48138435;10675411;26891218;14761292;2094762;;15066574;;;17879094;21657860;;;;;11287808;4881759;6406049;;6406049
C2599 - Fabricación de otros productos elaborados de metal n.c.p.;VALLE;CALI-VALLE;117794711;87086008;30708703;363800;11829476;6533514;1707132;;11002381;;;2088110;4828559;;;;;8261932;3742368;4519564;;4519564
G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción;ANTIOQUIA;ITAGUI-ANTIOQUIA;43463387;35371957;8091430;762395;3582492;2164382;1141950;;1965001;;;323740;1246780;;;;;1041961;599390;442571;;442571
A0141 - Cría de ganado bovino y bufalino;VALLE;CALI-VALLE;4465961;3949827;516134;;;66087;;;450047;;;200911;241969;;;;;408989;-57044;466033;;466033
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;4870215;2577502;2292713;85619;1063421;1202975;;;111936;;;1758274;1742372;;;;;127838;35055;92783;;92783
G4669 - Comercio al por mayor de otros productos n.c.p.;BOGOTA D.C.;BOGOTA D.C.;9799929;7664750;2135179;199262;733074;728278;22561;;850528;;;16734;;;;;;867262;232341;634921;;634921
C2021 - Fabricación de plaguicidas y otros productos químicos de uso agropecuario;BOGOTA D.C.;BOGOTA D.C.;760307857;620936215;139371642;;24594985;8786671;8211530;;97778456;;;344690;735901;;;;;97387245;38141795;59245450;;59245450
C1020 - Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos;ANTIOQUIA;ITAGUI-ANTIOQUIA;98222582;62786073;35436509;393252;22798748;3633921;238875;;9158217;;;201849;1035654;;;;;8324412;2621718;5702694;;5702694
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;BOGOTA D.C.;BOGOTA D.C.;13756882;7725184;6031698;227946;2630864;1529088;1252292;;847400;;;;;;;;;847400;378324;469076;;469076
G4751 - Comercio al por menor de productos textiles en establecimientos especializados;CUNDINAMARCA;COTA-CUNDINAMARCA;640192021;560954541;79237480;285687;26290740;13632065;26384650;0;13215712;0;0;0;0;0;0;0;0;13215712;3957383;9258329;0;9258329
F4210 - Construcción de carreteras y vías de ferrocarril;BOGOTA D.C.;BOGOTA D.C.;;;;4935372;8111488;;32494;;-3208610;;;492641;1390885;;;;;-4106854;6269;-4113123;;-4113123
C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;BOGOTA D.C.;BOGOTA D.C.;24933398;16661226;8272172;33099;4963254;3166011;215988;;-39982;;;;765263;;;;;-805245;-55423;-749822;;-749822
C1521 - Fabricación de calzado de cuero y piel, con cualquier tipo de suela;NORTE DE SANTANDER;CUCUTA-NORTE DE SANTANDER;15282410;10698843;4583567;353449;1393926;1697225;38402;;1807463;;;47471;574227;;;;;1280707;410746;869961;;869961
C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;ATLANTICO;BARRANQUILLA-ATLANTICO;152244535;61482136;90762399;167365;0;19078421;56135421;;15715922;;;729508;2988388;;;;;13457042;4702327;8754715;;8754715
F4290 - Construcción de otras obras de ingeniería civil;BOGOTA D.C.;BOGOTA D.C.;5799165;3007982;2791183;80492;1987441;714967;99479;;69788;;;21622;57487;;;;;33923;;33923;;33923
C1082 - Elaboración de cacao, chocolate y productos de confitería;VALLE;YUMBO-VALLE;205097607;136719100;68378507;2086858;37169845;11253708;9086795;-6355903;6599114;;;;4558899;;;;;2040215;2090145;-49930;;-49930
A0125 - Cultivo de flor de corte;ANTIOQUIA;CARMEN-DE-VIBORAL-ANTIOQUIA;18034709;13253486;4781223;126426;1848504;2676933;117231;;264981;;;434205;422412;;;;;276774;139276;137498;;137498
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;BOGOTA D.C.;BOGOTA D.C.;284475823;211282781;73193042;1506913;47979093;15327139;1227839;;10165884;;;12670832;20592303;129785;;;;2114628;3858632;-1744004;;-1744004
A0122 - Cultivo de plátano y banano;MAGDALENA;SANTA-MARTA-MAGDALENA;15794236;11780932;4013304;1754461;;2819829;1505424;;1442512;;;3340;295750;;;;;1150102;85018;1065084;;1065084
J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas;BOGOTA D.C.;BOGOTA D.C.;620828982;318128240;302700742;0;225050052;14364897;20976137;;42309656;0;0;0;23766597;0;0;0;0;18543059;20083183;-1540124;0;-1540124
A0122 - Cultivo de plátano y banano;MAGDALENA;SANTA-MARTA-MAGDALENA;17882600;14641794;3240806;2627651;0;2975837;1796213;;1096407;0;0;2976;61186;0;0;0;0;1038197;52289;985908;0;985908
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;85558427;59775406;25783021;;10813640;7521023;1415863;;6032495;;;222112;1848140;;;;;4406467;1713535;2692932;;2692932
M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;BOGOTA D.C.;BOGOTA D.C.;83558558;66740256;16818302;;;3489401;;;13328901;;;;1046846;;;;;12282055;3138416;9143639;;9143639
A0112 - Cultivo de arroz;ANTIOQUIA;ENVIGADO-ANTIOQUIA;21185638;19443778;1741860;1158213;32;1669845;485363;0;744833;0;0;0;0;0;0;0;0;744833;270060;474773;0;474773
A0122 - Cultivo de plátano y banano;ANTIOQUIA;MEDELLIN-ANTIOQUIA;7204628;5903914;1300714;2660;;1077343;18219;;207812;;;;;;;;;207812;72554;135258;;135258
N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.;BOGOTA D.C.;BOGOTA D.C.;15300697;1849499;13451198;513461;;9952283;1688495;;2323881;;;175683;880041;;;;;1619523;-519545;2139068;;2139068
G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción;BOGOTA D.C.;BOGOTA D.C.;46027175;28637903;17389272;151486;8624407;1203026;404277;-1493089;5815959;;;59376;1399908;;;;;4475427;1668232;2807195;;2807195
F4210 - Construcción de carreteras y vías de ferrocarril;VALLE;CALI-VALLE;1601144;894446;706698;45942;;624150;228172;;-99682;;;26;4642;;;;;-104298;266497;-370795;;-370795
M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;ARAUCA;ARAUCA-ARAUCA;2781076;;2781076;;;2413572;275;;367229;;;;;;;;;367229;138313;228916;;228916
G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados;VALLE;CALI-VALLE;5480898;2955988;2524910;129947;2540451;585638;10227;;-481459;;;25482;134970;;;;;-590947;53871;-644818;;-644818
G4669 - Comercio al por mayor de otros productos n.c.p.;BOGOTA D.C.;BOGOTA D.C.;180886458;162436853;18449605;1393322;6316822;1881319;797923;;10846863;;;9425377;14297918;;;;;5974322;1481388;4492934;;4492934
C2930 - Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;SANTANDER;FLORIDABLANCA-SANTANDER;6902253;3693731;3208522;110705;843435;1752146;69884;;653762;;;62130;816821;;;;;-100929;101976;-202905;;-202905
G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción;BOGOTA D.C.;BOGOTA D.C.;52617444;35369696;17247748;641520;5597213;5151368;298180;;6842507;;;1921579;2454567;;;;;6309519;2123400;4186119;;4186119
A0161 - Actividades de apoyo a la agricultura;BOGOTA D.C.;BOGOTA D.C.;49413336;5305894;44107442;31914;;43626903;55165;;457288;;;1191908;1559439;;1605803;;;1695560;374101;1321459;;1321459
G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción;RISARALDA;DOS-QUEBRADAS-RISARALDA;175054184;145691705;29362479;786560;8986500;4484853;2449396;;14228290;;;;;;;;;14228290;4413621;9814669;;9814669
G4511 - Comercio de vehículos automotores nuevos;BOGOTA D.C.;BOGOTA D.C.;386066694;330177836;55888858;34515830;28357009;11247205;33125668;;17674806;;;1669167;8482905;;;;;10861068;3659148;7201920;;7201920
A0125 - Cultivo de flor de corte;BOGOTA D.C.;BOGOTA D.C.;13998557;10158970;3839587;1081108;196491;2332215;984813;;1407176;;;48284;8007;;;;;1447453;511249;936204;;936204
A0125 - Cultivo de flor de corte;BOGOTA D.C.;BOGOTA D.C.;19813011;18066569;1746442;1059762;112251;1682590;33097;;978266;;;1165608;2104907;;;;;38967;20671;18296;;18296
F4290 - Construcción de otras obras de ingeniería civil;SANTANDER;BUCARAMANGA-SANTANDER;39371190;26855536;12515654;2399797;;3794144;662416;;10458891;;;2271252;184838;;208165;;;12753470;4337937;8415533;;8415533
K6613 - Otras actividades relacionadas con el mercado de valores;ATLANTICO;BARRANQUILLA-ATLANTICO;1082384;;1082384;7169127;;34440;;;8217071;;;;6055;;;;;8211016;1530;8209486;;8209486
G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;RISARALDA;PEREIRA-RISARALDA;102412949;77554038;24858911;815792;13691368;1748247;177734;;10057354;;;2319953;2689679;;;;;9687628;2824301;6863327;;6863327
A0125 - Cultivo de flor de corte;CUNDINAMARCA;CHIA-CUNDINAMARCA;15290107;14551140;738967;1282500;300713;1320229;389261;-44433;-33169;;;400283;316406;;;;;50708;125420;-74712;;-74712
G4690 - Comercio al por mayor no especializado;VALLE;CALI-VALLE;26207490;10643049;15564441;540392;7512703;2265637;4129442;;2197051;;;;;;;;;2197051;738242;1458809;;1458809
C2229 - Fabricación de artículos de plástico n.c.p.;BOGOTA D.C.;BOGOTA D.C.;4074366;2788012;1286354;91227;881243;767537;41846;;-313045;;;46235;299902;;;;;-566712;1440;-568152;;-568152
C2013 - Fabricación de plásticos en formas primarias;BOLIVAR;CARTAGENA-BOLIVAR;533711506;329330061;204381445;;11230680;4188980;;;188961785;;;87325756;80944100;;;;;195343441;28432521;166910920;;166910920
K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.;ANTIOQUIA;MEDELLIN-ANTIOQUIA;11746646;;11746646;808202;;5297205;4111205;;3146438;;;;312652;900914;;;;1932872;444927;1487945;;1487945
J6190 - Otras actividades de telecomunicaciones;BOGOTA D.C.;BOGOTA D.C.;377010762;271957073;105053689;;20136340;52059340;4456002;;28402007;;;;5146282;;;;;23255725;10309949;12945776;;12945776
C2029 - Fabricación de otros productos químicos n.c.p.;CUNDINAMARCA;SOPO-CUNDINAMARCA;27849391;16305553;11543838;381776;2719763;2121186;139398;;6945267;;;834380;852861;;;;;6926786;2253336;4673450;;4673450
A0125 - Cultivo de flor de corte;CUNDINAMARCA;CAJICA-CUNDINAMARCA;13132943;7815760;5317183;1934451;585488;2580521;131043;;3954582;;;191379;455314;;;;;3690647;1285206;2405441;;2405441
B0610 - Extracción de petróleo crudo;BOGOTA D.C.;BOGOTA D.C.;;;;2455787;;12031033;22406799;;-31982045;;;;;;;;;-31982045;158472;-32140517;;-32140517
H5223 - Actividades de aeropuertos, servicios de navegación aérea y demás actividades conexas al transporte aéreo;ANTIOQUIA;MEDELLIN-ANTIOQUIA;41630949;40277646;1353303;1562184;111864;7015393;299356;;-4511126;;;435100;2059534;2687619;;;;-8823179;-2585920;-6237259;;-6237259
A0125 - Cultivo de flor de corte;CUNDINAMARCA;GUASCA-CUNDINAMARCA;8067047;7508358;558689;981847;335277;547428;80296;;577535;;;582408;1100063;;;;;59880;17953;41927;;41927
F4111 - Construcción de edificios residenciales;BOGOTA D.C.;BOGOTA D.C.;;;;0;;8580;5000;;-13580;;;;;;;;;-13580;137;-13717;;-13717
J6190 - Otras actividades de telecomunicaciones;BOGOTA D.C.;BOGOTA D.C.;16691478;12141260;4550218;;576700;3413249;283741;;276528;;;;43829;;;;;232699;372511;-139812;;-139812
A0125 - Cultivo de flor de corte;CUNDINAMARCA;TOCANCIPA-CUNDINAMARCA;14734117;12895324;1838793;635931;513084;805320;408702;382112;1129730;;;2794;411149;;;;;721375;536936;184439;;184439
C1051 - Elaboración de productos de molinería;BOGOTA D.C.;BOGOTA D.C.;372734676;314529921;58204755;3103298;24626822;25280928;4453846;;6946457;0;0;0;5952034;0;0;0;0;994423;3559933;-2565510;0;-2565510
C1089 - Elaboración de otros productos alimenticios n.c.p.;CUNDINAMARCA;COTA-CUNDINAMARCA;107525063;64967056;42558007;575368;21907043;7629300;3858453;;9738579;;;;;;;;;9738579;3095037;6643542;;6643542
S9511 - Mantenimiento y reparación de computadores y de equipo periférico;BOGOTA D.C.;BOGOTA D.C.;40560009;26329780;14230229;26777;2745134;2498601;831205;73351;8255417;;;81176;105440;;;;;8231153;4036823;4194330;;4194330
N8121 - Limpieza general interior de edificios;BOGOTA D.C.;BOGOTA D.C.;53106597;48848709;4257888;;;2319825;;;1938063;;;403419;2063424;;;;;278058;125126;152932;;152932
C1061 - Trilla de café;BOGOTA D.C.;BOGOTA D.C.;592209803;534961016;57248787;6004257;35096655;8362732;12868097;;6925560;;;179266;1765694;;;;;5339132;992362;4346770;;4346770
G4511 - Comercio de vehículos automotores nuevos;ANTIOQUIA;MEDELLIN-ANTIOQUIA;43707709;37029754;6677955;458268;5202282;1404249;4264;;525428;;;20653;1034676;;;;;-488595;12858;-501453;;-501453
C1090 - Elaboración de alimentos preparados para animales;CUNDINAMARCA;FUNZA-CUNDINAMARCA;793041973;756245824;36796149;257672;5255165;5504958;90566;-14378;26188754;;;1255620;20325351;;;;;7119023;739004;6380019;;6380019
G4652 - Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones;RISARALDA;PEREIRA-RISARALDA;9198478;5612259;3586219;267985;548598;1409139;221975;;1674492;0;0;0;0;0;0;0;0;1674492;591639;1082853;0;1082853
A0113 - Cultivo de hortalizas, raíces y tubérculos;ANTIOQUIA;MEDELLIN-ANTIOQUIA;61372344;44694014;16678330;174597;7481567;1796214;9133;;7566013;;;143643;626975;;;;;7082681;2261727;4820954;;4820954
A0122 - Cultivo de plátano y banano;ANTIOQUIA;APARTADO-ANTIOQUIA;10132961;7265135;2867826;169921;637571;902847;579115;;918214;;;29410;73126;;;;;874498;106789;767709;;767709
G4641 - Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico;BOGOTA D.C.;BOGOTA D.C.;15426300;11243965;4182335;287446;;3189627;118939;;1161215;;;2647374;4308085;;;;;-499496;17001;-516497;;-516497
C1081 - Elaboración de productos de panadería;VALLE;CALI-VALLE;17541768;9105806;8435962;90448;6677071;2314773;972203;;-1437637;;;;;;;;;-1437637;324819;-1762456;;-1762456
B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural;BOGOTA D.C.;BOGOTA D.C.;45371077;48433889;-3062812;;;2717867;;-216288;-5996967;;;;537553;;;;;-6534520;1281858;-7816378;;-7816378
C2229 - Fabricación de artículos de plástico n.c.p.;BOGOTA D.C.;BOGOTA D.C.;31191659;21420864;9770795;1373901;2280681;12123518;;;-3259503;;;;;;;;;-3259503;442655;-3702158;;-3702158
C1020 - Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos;ANTIOQUIA;LA-ESTRELLA-ANTIOQUIA;63045163;32243948;30801215;36692;7678628;6738502;322433;;16098344;;;;9222495;;;;;6875849;1591995;5283854;;5283854
G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción;ATLANTICO;BARRANQUILLA-ATLANTICO;7774218;6817760;956458;791583;691377;1531795;;;-475131;;;;505361;;;;;-980492;11687;-992179;;-992179
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;ANTIOQUIA;MEDELLIN-ANTIOQUIA;31983928;23789317;8194611;658033;2260046;3317212;150890;;3124496;;;;;;;;;3124496;1082098;2042398;;2042398
N7830 - Otras actividades de suministro de recurso humano;ANTIOQUIA;ENVIGADO-ANTIOQUIA;100255082;80488299;19766783;;;14671997;1393705;1045186;4746267;;;;70023;;;;;4676244;1120269;3555975;;3555975
C1090 - Elaboración de alimentos preparados para animales;SANTANDER;GIRON-SANTANDER;105905639;99250622;6655017;363077;1266410;1684096;19634;;4047954;;;548081;1645158;;;;;2950877;914804;2036073;;2036073
A0125 - Cultivo de flor de corte;ANTIOQUIA;MEDELLIN-ANTIOQUIA;30135157;24866295;5268862;1575801;2817810;1419379;2515667;;91807;;;;;;;;;91807;;91807;;91807
C1051 - Elaboración de productos de molinería;VALLE;TULUA-VALLE;51214294;40554792;10659502;530397;5541769;1666212;18863;0;3963055;0;0;818166;2936750;0;0;0;0;1844471;648712;1195759;0;1195759
C1012 - Procesamiento y conservación de pescados, crustáceos y moluscos;BOGOTA D.C.;BOGOTA D.C.;56079938;48263396;7816542;1775149;2620300;1825537;;;5145854;;;;1798961;;;;;3346893;1092030;2254863;0;2254863
G4751 - Comercio al por menor de productos textiles en establecimientos especializados;BOGOTA D.C.;BOGOTA D.C.;62179241;27673852;34505389;10265602;25120979;7328496;;;12321516;;;156514;3180827;;;;;9297203;1784138;7513065;;7513065
M7020 - Actividades de consultaría de gestión;VALLE;CALI-VALLE;124190004;111926360;12263644;12069889;4950089;3412025;13915052;;2056367;;;135583;;;;;;2191950;5268288;-3076338;;-3076338
A0125 - Cultivo de flor de corte;BOGOTA D.C.;BOGOTA D.C.;16366247;7480710;8885537;;5680747;2810322;;;394468;;;5963470;6066521;;;;;291417;68872;222545;;222545
M7490 - Otras actividades profesionales, científicas y técnicas n.c.p.;BOGOTA D.C.;BOGOTA D.C.;39499713;17927951;21571762;3085610;399991;21912671;1142800;;1201910;;;;300403;;;;;901507;114277;787230;;787230
C2229 - Fabricación de artículos de plástico n.c.p.;ATLANTICO;SOLEDAD-ATLANTICO;130196844;102289240;27907604;457192;12169711;5649257;460346;-49985;10035497;;;178236;493703;;;;;9720030;3519274;6200756;;6200756
G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción;VALLE;CALI-VALLE;226299967;131302846;94997121;9474012;73677231;10753422;2758700;;17281780;;;12387578;18171067;;;;;11498291;3999299;7498992;;7498992
G4690 - Comercio al por mayor no especializado;ANTIOQUIA;ITAGUI-ANTIOQUIA;4412146;2953411;1458735;50881;973808;313779;28185;;193844;;;51;10045;;;;;183850;54145;129705;;129705
C3290 - Otras industrias manufactureras n.c.p.;BOGOTA D.C.;BOGOTA D.C.;91684966;59423572;32261394;574034;10344336;10753403;366373;;11371316;;;1799326;6360742;;;;;6809900;2288122;4521778;;4521778
G4641 - Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico;BOGOTA D.C.;BOGOTA D.C.;93986887;65637443;28349444;1044565;25188092;3749278;660529;;-203890;;;;4591221;;;;;-4795111;-678675;-4116436;;-4116436
C1410 - Confección de prendas de vestir, excepto prendas de piel;ANTIOQUIA;MEDELLIN-ANTIOQUIA;142459685;83771705;58687980;4977705;17955102;36334400;520166;;8856017;;;57609;23182846;;;;;-14269220;-2285342;-11983878;;-11983878
S9601 - Lavado y limpieza, incluso la limpieza en seco, de productos textiles y de piel;BOGOTA D.C.;BOGOTA D.C.;32609563;23809536;8800027;798277;;6254389;633570;;2710345;;;;;;;-904526;;1805819;1510966;294853;;294853
C2229 - Fabricación de artículos de plástico n.c.p.;BOGOTA D.C.;BOGOTA D.C.;22615348;16695009;5920339;364831;1438238;2090959;339418;;2416555;;;52103;816526;;;;;1652132;576209;1075923;;1075923
C2221 - Fabricación de formas básicas de plástico;ATLANTICO;BARRANQUILLA-ATLANTICO;51558781;41480616;10078165;122665;2479746;1653785;165420;;5901879;;;887222;1236235;;;;;5552866;127171;5425695;;5425695
M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;VALLE;CALI-VALLE;49075732;44087512;4988220;2734183;0;4076712;103861;0;3541830;0;0;0;2867585;0;0;0;0;674245;771076;-96831;0;-96831
G4631 - Comercio al por mayor de productos alimenticios;BOGOTA D.C.;BOGOTA D.C.;30895295;26620909;4274386;730646;384095;1881781;133209;;2605947;;;1075346;1470704;;;;;2210589;787806;1422783;;1422783
G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario;BOGOTA D.C.;BOGOTA D.C.;73726640;45842896;27883744;1576433;15150114;1848131;329341;;12132591;;;42824;2034494;274956;;;;9865965;3016598;6849367;;6849367
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;BOGOTA D.C.;BOGOTA D.C.;3208260;1642929;1565331;410258;1003053;1951184;37405;-1378241;-2394294;;;92540;40004;;;;;-2341758;-472115;-1869643;;-1869643
C3250 - Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario);BOGOTA D.C.;BOGOTA D.C.;8887278;4260032;4627246;241843;1580976;1548463;265050;;1474600;;;32752;411513;;;;;1095839;453107;642732;;642732
M7320 - Estudios de mercado y realización de encuestas de opinión pública;BOGOTA D.C.;BOGOTA D.C.;36975439;13459216;23516223;122948;;11455755;1016198;;11167218;;;1618351;2439044;;;;;10346525;4451337;5895188;;5895188
C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;BOGOTA D.C.;BOGOTA D.C.;28951606;19392137;9559469;242292;4517231;1779480;;;3505050;;;27210;;;;;;3532260;1107089;2425171;;2425171
G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados;ATLANTICO;PUERTO-COLOMBIA-ATLANTICO;29758525;14945113;14813412;1488677;4958147;4681776;1651958;;5010208;;;35278;488407;;;;;4557079;1165396;3391683;;3391683
K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.;BOGOTA D.C.;BOGOTA D.C.;;;;305290;;82869;31818;;190603;;;;;;;;;190603;71933;118670;;118670
C2394 - Fabricación de cemento, cal y yeso;ANTIOQUIA;MEDELLIN-ANTIOQUIA;2979832;3023372;-43540;40411;43560;909450;;;-956139;;;107846;154870;;;;;-1003163;-94190;-908973;;-908973
C1410 - Confección de prendas de vestir, excepto prendas de piel;ANTIOQUIA;ITAGUI-ANTIOQUIA;6817655;5534980;1282675;223834;724707;988025;123159;;-329382;;;9568;3326;;;;;-323140;15414;-338554;;-338554
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;CUNDINAMARCA;CHIA-CUNDINAMARCA;10874428;3051196;7823232;2353091;3219077;1883686;4008215;;1065345;;;;;;;;;1065345;445002;620343;;620343
I5511 - Alojamiento en hoteles;BOGOTA D.C.;BOGOTA D.C.;10276315;1153952;9122363;1335363;1487265;14558101;;;-5587640;;;;1177704;;;;;-6765344;309264;-7074608;;-7074608
N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.;BOGOTA D.C.;BOGOTA D.C.;15588059;1051795;14536264;250357;;15325833;472404;;-1011616;;;;;;;;;-1011616;2779;-1014395;;-1014395
K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.;BOGOTA D.C.;BOGOTA D.C.;85200;;85200;260926;;224220;265;;121641;;;;;;;;;121641;43929;77712;;77712
F4111 - Construcción de edificios residenciales;MAGDALENA;SANTA-MARTA-MAGDALENA;26249729;19455351;6794378;939783;72112;2608961;428917;;4624171;;;27952;590604;;;;;4061519;1057062;3004457;;3004457
G4644 - Comercio al por mayor de aparatos y equipo de uso doméstico;ANTIOQUIA;COPACABANA-ANTIOQUIA;68411608;49267495;19144113;279107;8587916;3255089;762444;-882;6816889;;;29276;603015;;;;;6243150;1979127;4264023;;4264023
F4111 - Construcción de edificios residenciales;ANTIOQUIA;MEDELLIN-ANTIOQUIA;4143502;3770587;372915;20775;;72155;60875;;260660;;;582;23407;;;;;237835;101117;136718;;136718
G4644 - Comercio al por mayor de aparatos y equipo de uso doméstico;BOGOTA D.C.;BOGOTA D.C.;88992920;66382639;22610281;;;4495109;12898877;;5216295;;;34208;2273086;;;;;2977417;-6901285;9878702;;9878702
C1392 - Confección de artículos con materiales textiles, excepto prendas de vestir;ANTIOQUIA;LA-ESTRELLA-ANTIOQUIA;90358616;67364207;22994409;899131;15089937;2635349;229424;;5938830;0;-462423;156549;1031863;0;0;0;-107184;4493909;1432180;3061729;0;3061729
B0610 - Extracción de petróleo crudo;BOGOTA D.C.;BOGOTA D.C.;79522937;70984786;8538151;;;9206201;;-942492;-1610542;;;;7956210;;;;;-9566752;215072;-9781824;;-9781824
G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios;ATLANTICO;BARRANQUILLA-ATLANTICO;8751976;7063800;1688176;83906;1013611;929242;106245;;-277016;;;50;175943;;;;;-452909;-12203;-440706;;-440706
C1082 - Elaboración de cacao, chocolate y productos de confitería;BOGOTA D.C.;BOGOTA D.C.;19701587;13443605;6257982;;4120528;1933822;505264;;-301632;;;;;;;;;-301632;-200586;-101046;;-101046
L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;BOGOTA D.C.;BOGOTA D.C.;3349399;;3349399;127290;;2934474;610;;541605;;;16929;1342229;;;;;-783695;-42340;-741355;;-741355
J6311 - Procesamiento de datos, alojamiento (hosting) y actividades relacionadas;BOGOTA D.C.;BOGOTA D.C.;23980006;18125494;5854512;;472769;3017216;;;2364527;;;92013;683717;;;;;1772823;888831;883992;;883992
J6190 - Otras actividades de telecomunicaciones;BOGOTA D.C.;BOGOTA D.C.;57128231;56853939;274292;39902;;;;;314194;;;234118;99514;;;;;448798;188195;260603;;260603
G4719 - Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco;VALLE;CALI-VALLE;15921577;10069479;5852098;127142;3243854;1926748;;;808638;;;37747;733027;;;;;113358;12165;101193;;101193
N7820 - Actividades de agencias de empleo temporal;BOGOTA D.C.;BOGOTA D.C.;83772851;76526305;7246546;156667;1701647;3707113;600570;;1393883;0;;25082;;;;;;1418965;735036;683929;;683929
